id,performer_name,promotion,brand,source_brand,gender_division,division,game_eligible,availability,role_tier,alignment,archetype,faction_or_team,championships,source_overall,game_overall,rating_basis,rating_confidence,estimated_salary_usd,contract_weeks_remaining,renewal_risk,popularity_overall,star_power,draw_power,merch_appeal,social_buzz,workrate,psychology,stamina,consistency,safety,big_match_ability,charisma,mic_skill,character_work,crowd_connection,segment_versatility,durability,injury_risk,recovery_rate,confidence,locker_room_influence,frustration,singles_fit,tag_fit,promo_fit,rivalry_fit,opener_fit,main_event_fit,special_stipulation_fit,primary_roster_source_url,secondary_roster_source_url,ratings_source_url,notes,recalibration_model,top_200_rank,top_200_selection_score,draftRank,popularity,momentum,ringSkill,promoSkill,morale,fatigue
wwe_smackdown_gunther,Gunther,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,MainEvent,Heel,Powerhouse,,,93,93,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3781000,52,35,99,99,99,95,99,88,98,94,93,89,99,99,99,99,99,98,87,23,68,83,93,23,93,99,99,99,84,99,96,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,11,95.35,11,94,77,90,92,69,20
wwe_raw_iyo_sky,IYO SKY,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,,93,93,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3781000,52,35,99,99,99,99,99,95,97,95,94,88,99,97,99,94,99,96,82,32,61,80,94,26,96,99,97,98,84,99,89,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,12,95.35,12,93,75,93,92,63,16
wwe_raw_liv_morgan,Liv Morgan,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Face,RingGeneral,,Women's World Champion,92,92,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3766000,52,35,94,98,96,92,90,87,97,92,89,96,97,97,99,99,97,98,88,19,73,85,96,26,99,95,99,98,86,99,93,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,13,95.05,13,92,79,93,92,68,10
wwe_smackdown_drew_mcintyre,Drew McIntyre,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,MainEvent,Unknown,Brawler,,,93,93,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3781000,52,35,99,98,98,96,97,96,91,94,94,97,98,99,99,97,95,97,85,23,63,86,99,31,95,91,99,97,88,99,99,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,14,95,14,93,74,93,93,67,10
wwe_smackdown_randy_orton,Randy Orton,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,MainEvent,Unknown,Brawler,,,92,92,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3766000,52,35,99,97,98,99,99,94,95,94,94,96,98,97,99,93,99,95,83,25,66,81,99,23,96,95,97,99,87,99,99,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,15,94.35,15,93,74,93,92,64,13
aew_aew_will_ospreay,Will Ospreay,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,RingGeneral,,,93,93,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3288000,52,35,94,98,96,99,92,95,90,91,94,89,97,97,96,99,91,96,89,30,67,79,97,32,98,90,97,95,92,99,87,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,16,94,16,91,73,92,91,59,21
aew_aew_mercedes_mon,Mercedes Moné,AEW,AEW,AEW,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,,92,92,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3275000,52,35,94,98,96,92,90,87,97,92,89,96,97,97,99,99,97,98,88,19,73,85,96,26,99,95,99,98,86,99,93,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,17,93.55,17,90,73,92,91,67,10
wwe_raw_naomi,Naomi,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,,92,92,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3766000,52,35,94,98,96,92,90,87,97,92,89,96,97,97,99,99,97,98,88,19,73,85,96,26,99,95,99,98,86,99,93,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,18,93.55,18,91,73,92,91,66,10
wwe_raw_stephanie_vaquer,Stephanie Vaquer,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,,92,92,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3766000,52,35,94,98,96,92,90,87,97,92,89,96,97,97,99,99,97,98,88,19,73,85,96,26,99,95,99,98,86,99,93,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,19,93.55,19,91,73,92,91,66,10
wwe_raw_asuka,Asuka,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,,91,91,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3752000,52,35,98,95,96,94,93,85,94,88,93,86,97,91,89,90,98,90,87,27,63,78,98,30,93,90,89,94,84,99,86,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,20,93.1,20,90,73,92,89,60,27
aew_aew_jon_moxley,Jon Moxley,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,Brawler,Death Riders,AEW Continental Champion,90,90,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3250000,52,35,94,93,93,90,90,94,87,87,90,86,93,92,96,91,96,92,83,22,67,82,97,34,92,87,93,94,83,99,97,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,21,92.65,21,89,79,91,90,60,22
wwe_raw_bron_breakker,Bron Breakker,WWE,Raw,Raw,Mens,Mens,Yes,Active,MainEvent,Heel,Powerhouse,,,90,90,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3738000,52,35,93,97,95,97,95,89,90,89,93,94,97,90,95,88,96,91,84,31,66,82,88,38,93,90,91,94,83,99,97,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,22,92.2,22,93,73,88,88,59,21
aew_aew_thekla,Thekla,AEW,AEW,AEW,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,Triangle of Madness,AEW Women's World Champion,87,87,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3212000,52,35,89,93,91,88,84,89,84,85,85,89,95,92,87,91,91,88,80,33,59,77,93,37,88,93,89,91,87,99,91,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,23,90.45,23,88,77,92,88,58,29
aew_aew_willow_nightingale,Willow Nightingale,AEW,AEW,AEW,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,Babes of Wrath,AEW TBS Champion,87,87,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3212000,52,35,89,93,91,88,84,89,84,85,85,89,95,92,87,91,91,88,80,33,59,77,93,37,88,93,89,91,87,99,91,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,24,90.45,24,88,77,91,88,58,29
wwe_smackdown_jade_cargill,Jade Cargill,WWE,SmackDown,SmackDown,Womens,Womens,Yes,Active,MainEvent,Heel,Powerhouse,,,88,88,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3709000,52,35,95,92,93,94,93,86,84,87,86,83,93,89,85,87,96,86,80,20,68,84,89,30,95,94,86,91,78,99,90,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,25,90.2,25,92,73,88,88,68,10
wwe_smackdown_charlotte_flair,Charlotte Flair,WWE,SmackDown,SmackDown,Womens,Womens,Yes,Active,Midcard,Face,RingGeneral,,,93,93,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,983000,52,25,95,92,93,99,89,94,95,98,96,93,92,89,91,88,94,90,92,18,72,82,89,23,93,95,89,91,93,90,87,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,26,89.4,26,89,68,86,83,61,10
aew_aew_swerve_strickland,Swerve Strickland,AEW,AEW,AEW,Mens,Mens,Yes,Active,UpperCard,Unknown,RingGeneral,,,90,90,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,1690000,52,35,93,93,93,93,98,93,89,89,91,87,90,93,93,91,91,91,80,28,64,78,99,34,95,90,92,91,88,91,89,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,27,89.35,27,81,72,88,87,56,10
wwe_smackdown_jacob_fatu,Jacob Fatu,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,MainEvent,Heel,Powerhouse,,,88,88,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3709000,52,35,91,91,91,93,91,84,85,89,88,88,93,85,80,83,91,83,85,17,74,74,96,34,91,94,81,88,87,99,98,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,28,89.2,28,92,72,88,87,56,11
wwe_smackdown_tiffany_stratton,Tiffany Stratton,WWE,SmackDown,SmackDown,Womens,Womens,Yes,Active,Midcard,Face,RingGeneral,,Women's United States Champion,91,91,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,975000,52,25,90,91,90,93,94,94,91,95,90,92,89,90,95,91,90,92,88,21,63,83,90,14,90,91,93,90,88,87,94,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,29,88.6,29,88,72,85,82,61,11
aew_aew_mjf,MJF,AEW,AEW,AEW,Mens,Mens,Yes,Active,UpperCard,Unknown,Showman,,,90,90,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,1690000,52,35,92,90,91,90,93,88,91,89,92,88,93,95,98,98,90,95,83,29,70,75,97,24,93,82,98,93,95,94,92,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,30,88.55,30,81,72,86,90,58,20
aew_aew_dax_harwood,Dax Harwood,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,RingGeneral,FTR,AEW World Tag Team Champion,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3175000,52,35,90,91,90,90,94,79,85,83,84,80,89,87,85,87,89,85,80,24,67,78,88,22,90,85,86,88,74,95,83,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,31,88.45,31,87,78,89,87,65,16
aew_aew_kevin_knight,Kevin Knight,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,RingGeneral,JetSpeed,AEW TNT Champion,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3175000,52,35,90,91,90,90,94,79,85,83,84,80,89,87,85,87,89,85,80,24,67,78,88,22,90,85,86,88,74,95,83,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,32,88.45,32,86,78,89,87,64,16
aew_aew_orange_cassidy,Orange Cassidy,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,RingGeneral,,AEW World Trios Champion,86,86,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3200000,52,35,87,89,88,86,87,82,83,79,81,83,92,82,83,78,83,82,78,26,69,72,90,24,88,83,80,85,82,98,85,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,33,88.45,33,86,74,89,86,56,14
aew_aew_jay_white,Jay White,AEW,AEW,AEW,Mens,Mens,Yes,Injured,UpperCard,Unknown,RingGeneral,Bang Bang Gang,,50,90,"Game-derived estimate from roster tier, title status, current availability, and known public role",Low,1690000,52,45,93,93,93,93,98,93,89,89,91,87,90,93,93,91,91,91,78,36,61,78,99,44,91,90,92,91,84,87,89,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,34,88.35,34,80,71,87,86,55,37
aew_aew_megan_bayne,Megan Bayne,AEW,AEW,AEW,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,Divine Dominion,AEW Women's World Tag Team Champion,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3175000,52,35,89,90,89,86,86,84,79,88,81,87,91,90,95,92,93,90,81,17,66,80,87,37,88,82,93,92,81,97,85,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,35,88.1,35,85,78,91,88,64,21
aew_aew_eddie_kingston,Eddie Kingston,AEW,AEW,AEW,Mens,Mens,Yes,Active,UpperCard,Unknown,Brawler,,,50,90,"Game-derived estimate from roster tier, title status, current availability, and known public role",Low,1690000,52,35,89,89,89,92,92,93,95,94,94,89,92,91,93,87,93,90,86,27,64,83,95,29,96,91,90,91,85,93,99,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,36,87.65,36,80,71,87,86,63,10
aew_aew_adam_copeland,Adam Copeland,AEW,AEW,AEW,Mens,Mens,Yes,Active,UpperCard,Unknown,RingGeneral,Copeland & Christian,,89,89,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,1684000,52,35,91,88,89,93,91,89,86,91,88,90,92,95,96,96,90,93,79,30,61,80,98,36,96,86,96,92,91,93,89,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,37,87.3,37,79,71,87,87,63,17
aew_aew_pac,PAC,AEW,AEW,AEW,Mens,Mens,Yes,Active,UpperCard,Unknown,RingGeneral,Death Riders,,89,89,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,1684000,52,35,91,88,89,93,91,89,86,91,88,90,92,95,96,96,90,93,79,30,61,80,98,36,96,86,96,92,91,93,89,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,38,87.3,38,79,71,87,87,63,17
wwe_raw_jey_uso,Jey Uso,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,,,91,91,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,975000,52,25,91,91,91,94,96,86,88,90,89,90,85,90,86,86,88,87,88,22,73,82,91,22,92,89,86,86,91,83,89,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.,initial_stats_recalibration_v1,39,87.15,39,86,68,85,81,61,10
aew_aew_cash_wheeler,Cash Wheeler,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,Technician,FTR,AEW World Tag Team Champion,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3175000,52,35,85,89,87,81,91,84,83,78,79,85,90,88,88,89,81,87,78,22,71,79,85,27,84,82,88,86,75,96,87,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available.",initial_stats_recalibration_v1,40,87.05,40,84,77,91,86,60,13
