draft_rank,id,name,brand,division,role_tier
49,wwe-raw-bronson-reed,Bronson Reed,Raw,Mens,UpperCard
50,wwe-smackdown-kevin-owens,Kevin Owens,SmackDown,Mens,UpperCard
51,aew-aew-mark-davis,Mark Davis,AEW,Mens,MainEvent
52,wwe-raw-la-knight,LA Knight,Raw,Mens,Midcard
53,wwe-smackdown-sami-zayn,Sami Zayn,SmackDown,Mens,Midcard
54,wwe-smackdown-giulia,Giulia,SmackDown,Womens,UpperCard
55,wwe-raw-nattie,Nattie,Raw,Womens,UpperCard
56,wwe-raw-raquel-rodriguez,Raquel Rodriguez,Raw,Womens,UpperCard
57,wwe-smackdown-damian-priest,Damian Priest,SmackDown,Mens,Midcard
58,aew-aew-ricochet,Ricochet,AEW,Mens,UpperCard
59,wwe-raw-sheamus,Sheamus,Raw,Mens,UpperCard
60,wwe-raw-finn-b-lor,Finn Bálor,Raw,Mens,Midcard
61,wwe-raw-dominik-mysterio,Dominik Mysterio,Raw,Mens,Midcard
62,aew-aew-lena-kross,Lena Kross,AEW,Womens,MainEvent
63,wwe-smackdown-alexa-bliss,Alexa Bliss,SmackDown,Womens,Midcard
64,wwe-raw-jimmy-uso,Jimmy Uso,Raw,Mens,Midcard
65,wwe-smackdown-shinsuke-nakamura,Shinsuke Nakamura,SmackDown,Mens,Midcard
66,wwe-raw-penta,Penta,Raw,Mens,Midcard
67,wwe-smackdown-chelsea-green,Chelsea Green,SmackDown,Womens,Midcard
68,wwe-smackdown-ilja-dragunov,Ilja Dragunov,SmackDown,Mens,Midcard
69,wwe-raw-roxanne-perez,Roxanne Perez,Raw,Womens,Midcard
70,wwe-smackdown-trick-williams,Trick Williams,SmackDown,Mens,Midcard
71,aew-aew-mark-briscoe,Mark Briscoe,AEW,Mens,Midcard
72,aew-aew-tommaso-ciampa,Tommaso Ciampa,AEW,Mens,Midcard
73,aew-aew-christian-cage,Christian Cage,AEW,Mens,Midcard
74,wwe-raw-el-grande-americano,El Grande Americano,Raw,Mens,Midcard
75,aew-aew-matt-jackson,Matt Jackson,AEW,Mens,Midcard
76,aew-aew-nick-jackson,Nick Jackson,AEW,Mens,Midcard
77,wwe-raw-original-el-grande-americano,Original El Grande Americano,Raw,Mens,Midcard
78,wwe-smackdown-solo-sikoa,Solo Sikoa,SmackDown,Mens,Midcard
79,wwe-raw-rey-mysterio,Rey Mysterio,Raw,Mens,Midcard
80,aew-aew-athena,Athena,AEW,Womens,Midcard
81,aew-aew-hikaru-shida,Hikaru Shida,AEW,Womens,Midcard
82,aew-aew-jamie-hayter,Jamie Hayter,AEW,Womens,Midcard
83,aew-aew-kris-statlander,Kris Statlander,AEW,Womens,Midcard
84,wwe-raw-lyra-valkyria,Lyra Valkyria,Raw,Womens,Midcard
85,aew-aew-thunder-rosa,Thunder Rosa,AEW,Womens,Midcard
86,wwe-raw-ethan-page,Ethan Page,Raw,Mens,Midcard
87,aew-aew-hangman-adam-page,"""Hangman"" Adam Page",AEW,Mens,Midcard
88,wwe-smackdown-carmelo-hayes,Carmelo Hayes,SmackDown,Mens,Midcard
89,aew-aew-konosuke-takeshita,Konosuke Takeshita,AEW,Mens,Midcard
90,wwe-raw-austin-theory,Austin Theory,Raw,Mens,Midcard
91,aew-aew-kyle-fletcher,Kyle Fletcher,AEW,Mens,Midcard
92,aew-aew-shelton-benjamin,Shelton Benjamin,AEW,Mens,Midcard
93,wwe-raw-joe-hendry,Joe Hendry,Raw,Mens,Midcard
94,wwe-smackdown-ricky-saints,Ricky Saints,SmackDown,Mens,Midcard
95,aew-aew-adam-cole,Adam Cole,AEW,Mens,Midcard
96,wwe-smackdown-michin,Michin,SmackDown,Womens,Midcard
97,wwe-smackdown-r-truth,R-Truth,SmackDown,Mens,Midcard
98,wwe-smackdown-the-miz,The Miz,SmackDown,Mens,Midcard
99,wwe-smackdown-jordynne-grace,Jordynne Grace,SmackDown,Womens,Midcard
100,wwe-smackdown-lash-legend,Lash Legend,SmackDown,Womens,Midcard
101,aew-aew-dr-britt-baker-d-m-d,"Dr. Britt Baker, D.M.D.",AEW,Womens,Midcard
102,aew-aew-timeless-toni-storm,"""Timeless"" Toni Storm",AEW,Womens,Midcard
103,wwe-raw-montez-ford,Montez Ford,Raw,Mens,Midcard
104,wwe-smackdown-jacy-jayne,Jacy Jayne,SmackDown,Womens,Midcard
105,wwe-nxt-kelani-jordan,Kelani Jordan,NXT,Womens,Midcard
106,wwe-raw-dragon-lee,Dragon Lee,Raw,Mens,Midcard
107,wwe-raw-jd-mcdonagh,JD McDonagh,Raw,Mens,Midcard
108,wwe-nxt-tony-d-angelo,Tony D'Angelo,NXT,Mens,Midcard
109,wwe-raw-angelo-dawkins,Angelo Dawkins,Raw,Mens,Midcard
110,wwe-raw-je-von-evans,Je'Von Evans,Raw,Mens,Midcard
111,wwe-smackdown-blake-monroe,Blake Monroe,SmackDown,Womens,Midcard
112,wwe-smackdown-fallon-henley,Fallon Henley,SmackDown,Womens,Midcard
113,wwe-nxt-lola-vice,Lola Vice,NXT,Womens,Midcard
114,wwe-raw-maxxine-dupri,Maxxine Dupri,Raw,Womens,Midcard
115,wwe-nxt-hank-walker,Hank Walker,NXT,Mens,Prospect
116,wwe-nxt-tank-ledger,Tank Ledger,NXT,Mens,Prospect
117,wwe-raw-ivar,Ivar,Raw,Mens,Enhancement
118,wwe-nxt-jaida-parker,Jaida Parker,NXT,Womens,Prospect
119,wwe-raw-sol-ruca,Sol Ruca,Raw,Womens,Prospect
120,wwe-raw-erik,Erik,Raw,Mens,Enhancement
121,wwe-nxt-noam-dar,Noam Dar,NXT,Mens,Prospect
122,wwe-raw-ivy-nile,Ivy Nile,Raw,Womens,Prospect
123,wwe-nxt-izzi-dame,Izzi Dame,NXT,Womens,Prospect
124,aew-aew-hologram,Hologram,AEW,Mens,Prospect
125,aew-aew-luchasaurus,Luchasaurus,AEW,Mens,Prospect
126,wwe-raw-brutus-creed,Brutus Creed,Raw,Mens,Enhancement
127,wwe-smackdown-johnny-gargano,Johnny Gargano,SmackDown,Mens,Enhancement
128,wwe-nxt-charlie-dempsey,Charlie Dempsey,NXT,Mens,Prospect
129,aew-aew-buddy-matthews,Buddy Matthews,AEW,Mens,Prospect
130,aew-aew-dustin-rhodes,Dustin Rhodes,AEW,Mens,Prospect
131,aew-aew-jake-doyle,Jake Doyle,AEW,Mens,Prospect
132,aew-aew-josh-alexander,Josh Alexander,AEW,Mens,Prospect
133,aew-aew-kota-ibushi,Kota Ibushi,AEW,Mens,Prospect
134,wwe-nxt-myles-borne,Myles Borne,NXT,Mens,Prospect
135,wwe-smackdown-nathan-frazer,Nathan Frazer,SmackDown,Mens,Enhancement
136,wwe-smackdown-axiom,Axiom,SmackDown,Mens,Enhancement
137,wwe-nxt-channing-stacks-lorenzo,"Channing ""Stacks"" Lorenzo",NXT,Mens,Prospect
138,wwe-nxt-josh-briggs,Josh Briggs,NXT,Mens,Prospect
139,wwe-nxt-nikkita-lyons,Nikkita Lyons,NXT,Womens,Prospect
140,wwe-smackdown-kit-wilson,Kit Wilson,SmackDown,Mens,Midcard
141,wwe-smackdown-royce-keys,Royce Keys,SmackDown,Mens,Midcard
142,wwe-raw-rusev,Rusev,Raw,Mens,Midcard
143,wwe-smackdown-tama-tonga,Tama Tonga,SmackDown,Mens,Midcard
144,wwe-raw-otis,Otis,Raw,Mens,Enhancement
145,wwe-nxt-bronco-nima,Bronco Nima,NXT,Mens,Prospect
146,wwe-nxt-kali-armstrong,Kali Armstrong,NXT,Womens,Prospect
147,wwe-nxt-adriana-rizzo,Adriana Rizzo,NXT,Womens,Prospect
148,wwe-nxt-arianna-grace,Arianna Grace,NXT,Womens,Prospect
149,wwe-nxt-karmen-petrovic,Karmen Petrovic,NXT,Womens,Prospect
150,wwe-nxt-kendal-grey,Kendal Grey,NXT,Womens,Prospect
151,wwe-smackdown-kiana-james,Kiana James,SmackDown,Womens,Prospect
152,wwe-smackdown-lainey-reid,Lainey Reid,SmackDown,Womens,Prospect
153,wwe-nxt-lizzy-rain,Lizzy Rain,NXT,Womens,Prospect
154,wwe-nxt-myka-lockwood,Myka Lockwood,NXT,Womens,Prospect
155,wwe-smackdown-piper-niven,Piper Niven,SmackDown,Womens,Prospect
156,wwe-nxt-skylar-raye,Skylar Raye,NXT,Womens,Prospect
157,wwe-nxt-tatum-paxley,Tatum Paxley,NXT,Womens,Prospect
158,wwe-nxt-thea-hail,Thea Hail,NXT,Womens,Prospect
159,wwe-nxt-wendy-choo,Wendy Choo,NXT,Womens,Prospect
160,wwe-nxt-wren-sinclair,Wren Sinclair,NXT,Womens,Prospect
161,wwe-nxt-zaria,Zaria,NXT,Womens,Prospect
162,wwe-raw-cruz-del-toro,Cruz Del Toro,Raw,Mens,Enhancement
163,wwe-smackdown-talla-tonga,Talla Tonga,SmackDown,Mens,Midcard
164,wwe-smackdown-angel,Angel,SmackDown,Mens,Enhancement
165,wwe-smackdown-berto,Berto,SmackDown,Mens,Enhancement
166,wwe-raw-bravo-americano,Bravo Americano,Raw,Mens,Enhancement
167,wwe-raw-grayson-waller,Grayson Waller,Raw,Mens,Enhancement
168,wwe-raw-joaquin-wilde,Joaquin Wilde,Raw,Mens,Enhancement
169,wwe-smackdown-matt-cardona,Matt Cardona,SmackDown,Mens,Enhancement
170,wwe-raw-rayo-americano,Rayo Americano,Raw,Mens,Enhancement
171,wwe-nxt-brad-baylor,Brad Baylor,NXT,Mens,Prospect
172,wwe-nxt-cutler-james,Cutler James,NXT,Mens,Prospect
173,wwe-nxt-dion-lennox,Dion Lennox,NXT,Mens,Prospect
174,wwe-nxt-ek-prosper,EK Prosper,NXT,Mens,Prospect
175,wwe-nxt-elio-lefleur,Elio LeFleur,NXT,Mens,Prospect
176,wwe-nxt-jackson-drake,Jackson Drake,NXT,Mens,Prospect
177,wwe-nxt-jasper-troy,Jasper Troy,NXT,Mens,Prospect
178,wwe-nxt-kale-dixon,Kale Dixon,NXT,Mens,Prospect
179,wwe-nxt-kam-hendrix,Kam Hendrix,NXT,Mens,Prospect
180,wwe-nxt-keanu-carver,Keanu Carver,NXT,Mens,Prospect
181,wwe-nxt-lexis-king,Lexis King,NXT,Mens,Prospect
182,wwe-nxt-lucien-price,Lucien Price,NXT,Mens,Prospect
183,wwe-nxt-mason-rook,Mason Rook,NXT,Mens,Prospect
184,wwe-nxt-naraku,Naraku,NXT,Mens,Prospect
185,wwe-nxt-niko-vance,Niko Vance,NXT,Mens,Prospect
186,wwe-nxt-osiris-griffin,Osiris Griffin,NXT,Mens,Prospect
187,wwe-nxt-ricky-smokes,Ricky Smokes,NXT,Mens,Prospect
188,wwe-nxt-saquon-shugars,Saquon Shugars,NXT,Mens,Prospect
189,wwe-nxt-sean-legacy,Sean Legacy,NXT,Mens,Prospect
190,wwe-nxt-shawn-spears,Shawn Spears,NXT,Mens,Prospect
191,wwe-nxt-shiloh-hill,Shiloh Hill,NXT,Mens,Prospect
192,wwe-nxt-tate-wilder,Tate Wilder,NXT,Mens,Prospect
193,wwe-nxt-tavion-heights,Tavion Heights,NXT,Mens,Prospect
194,wwe-nxt-tristan-angels,Tristan Angels,NXT,Mens,Prospect
195,wwe-smackdown-rey-fenix,Rey Fenix,SmackDown,Mens,Enhancement
196,wwe-raw-julius-creed,Julius Creed,Raw,Mens,Enhancement
197,wwe-smackdown-elton-prince,Elton Prince,SmackDown,Mens,Enhancement
198,wwe-smackdown-candice-lerae,Candice LeRae,SmackDown,Womens,Enhancement
199,wwe-raw-akira-tozawa,Akira Tozawa,Raw,Mens,Enhancement
200,wwe-smackdown-b-fab,B-Fab,SmackDown,Womens,Enhancement
