top_200_rank,top_200_selection_score,id,performer_name,promotion,brand,source_brand,gender_division,division,game_eligible,availability,role_tier,alignment,archetype,faction_or_team,championships,source_overall,game_overall,rating_basis,rating_confidence,estimated_salary_usd,contract_weeks_remaining,renewal_risk,popularity_overall,star_power,draw_power,merch_appeal,social_buzz,workrate,psychology,stamina,consistency,safety,big_match_ability,charisma,mic_skill,character_work,crowd_connection,segment_versatility,fatigue,durability,injury_risk,recovery_rate,morale,confidence,locker_room_influence,frustration,singles_fit,tag_fit,promo_fit,rivalry_fit,opener_fit,main_event_fit,special_stipulation_fit,primary_roster_source_url,secondary_roster_source_url,ratings_source_url,notes
11,95.1,wwe_raw_iyo_sky,IYO SKY,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,Damage CTRL,,93,93,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3781000,52,35,99,99,99,99,99,95,97,95,94,88,99,97,99,94,99,96,14,82,32,61,72,80,94,26,96,99,97,98,84,99,89,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
12,95.1,wwe_smackdown_gunther,Gunther,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,MainEvent,Heel,Powerhouse,,,93,93,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3781000,52,35,99,99,99,95,99,88,98,94,93,89,99,99,99,99,99,98,24,87,23,68,78,83,93,23,93,99,99,99,84,99,96,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
13,94.75,wwe_smackdown_drew_mcintyre,Drew McIntyre,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,MainEvent,Unknown,Brawler,,,93,93,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3781000,52,35,99,98,98,96,97,96,91,94,94,97,98,99,99,97,95,97,13,85,23,63,74,86,99,31,95,91,99,97,88,99,99,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
14,94.1,wwe_smackdown_randy_orton,Randy Orton,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,MainEvent,Unknown,Brawler,,,92,92,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3766000,52,35,99,97,98,99,99,94,95,94,94,96,98,97,99,93,99,95,16,83,25,66,68,81,99,23,96,95,97,99,87,99,99,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
15,94.05,wwe_raw_liv_morgan,Liv Morgan,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Face,RingGeneral,The Judgment Day,Women's World Champion,92,92,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3766000,52,35,94,98,96,92,90,87,97,92,89,96,97,97,99,99,97,98,10,88,19,73,72,85,96,26,99,95,99,98,86,99,93,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
16,93.75,aew_aew_will_ospreay,Will Ospreay,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,RingGeneral,,,93,93,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3288000,52,35,94,98,96,99,92,95,90,91,94,89,97,97,96,99,91,96,21,89,30,67,65,79,97,32,98,90,97,95,92,99,87,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
17,93.3,wwe_raw_stephanie_vaquer,Stephanie Vaquer,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,,92,92,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3766000,52,35,94,98,96,92,90,87,97,92,89,96,97,97,99,99,97,98,10,88,19,73,72,85,96,26,99,95,99,98,86,99,93,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
18,93.3,wwe_raw_naomi,Naomi,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,,92,92,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3766000,52,35,94,98,96,92,90,87,97,92,89,96,97,97,99,99,97,98,10,88,19,73,72,85,96,26,99,95,99,98,86,99,93,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
19,93.3,aew_aew_mercedes_mon,Mercedes Moné,AEW,AEW,AEW,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,,,92,92,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3275000,52,35,94,98,96,92,90,87,97,92,89,96,97,97,99,99,97,98,10,88,19,73,72,85,96,26,99,95,99,98,86,99,93,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
20,92.85,wwe_raw_asuka,Asuka,WWE,Raw,Raw,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,Damage CTRL,,91,91,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3752000,52,35,98,95,96,94,93,85,94,88,93,86,97,91,89,90,98,90,25,87,27,63,70,78,98,30,93,90,89,94,84,99,86,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
21,91.95,wwe_raw_bron_breakker,Bron Breakker,WWE,Raw,Raw,Mens,Mens,Yes,Active,MainEvent,Heel,Powerhouse,,,90,90,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3738000,52,35,93,97,95,97,95,89,90,89,93,94,97,90,95,88,96,91,20,84,31,66,70,82,88,38,93,90,91,94,83,99,97,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
22,91.65,aew_aew_jon_moxley,Jon Moxley,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,Brawler,Death Riders,AEW Continental Champion,90,90,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3250000,52,35,94,93,93,90,90,94,87,87,90,86,93,92,96,91,96,92,25,83,22,67,68,82,97,34,92,87,93,94,83,99,97,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
23,90.95,wwe_smackdown_charlotte_flair,Charlotte Flair,WWE,SmackDown,SmackDown,Womens,Womens,Yes,Active,Midcard,Face,RingGeneral,,,93,93,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,983000,52,25,95,92,93,99,89,94,95,98,96,93,92,89,91,88,94,90,14,92,18,72,71,82,89,23,93,95,89,91,93,90,87,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
24,90.0,aew_aew_swerve_strickland,Swerve Strickland,AEW,AEW,AEW,Mens,Mens,Yes,Active,UpperCard,Unknown,RingGeneral,,,90,90,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,1690000,52,35,93,93,93,93,98,93,89,89,91,87,90,93,93,91,91,91,10,80,28,64,63,78,99,34,95,90,92,91,88,91,89,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
25,89.95,wwe_smackdown_jade_cargill,Jade Cargill,WWE,SmackDown,SmackDown,Womens,Womens,Yes,Active,MainEvent,Heel,Powerhouse,,,88,88,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3709000,52,35,95,92,93,94,93,86,84,87,86,83,93,89,85,87,96,86,12,80,20,68,80,84,89,30,95,94,86,91,78,99,90,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
26,89.45,aew_aew_willow_nightingale,Willow Nightingale,AEW,AEW,AEW,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,Babes of Wrath,AEW TBS Champion,87,87,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3212000,52,35,89,93,91,88,84,89,84,85,85,89,95,92,87,91,91,88,21,80,33,59,71,77,93,37,88,93,89,91,87,99,91,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
27,89.45,aew_aew_thekla,Thekla,AEW,AEW,AEW,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,Triangle of Madness,AEW Women's World Champion,87,87,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3212000,52,35,89,93,91,88,84,89,84,85,85,89,95,92,87,91,91,88,21,80,33,59,71,77,93,37,88,93,89,91,87,99,91,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
28,89.4,wwe_smackdown_tiffany_stratton,Tiffany Stratton,WWE,SmackDown,SmackDown,Womens,Womens,Yes,Active,Midcard,Face,RingGeneral,,Women's United States Champion,91,91,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,975000,52,25,90,91,90,93,94,94,91,95,90,92,89,90,95,91,90,92,20,88,21,63,70,83,90,14,90,91,93,90,88,87,94,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
29,89.25,aew_aew_jay_white,Jay White,AEW,AEW,AEW,Mens,Mens,Yes,Injured,UpperCard,Unknown,RingGeneral,Bang Bang Gang,,,90,"Game-derived estimate from roster tier, title status, current availability, and known public role",Low,1690000,52,45,93,93,93,93,98,93,89,89,91,87,90,93,93,91,91,91,40,78,36,61,63,78,99,44,91,90,92,91,84,87,89,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
30,89.2,aew_aew_mjf,MJF,AEW,AEW,AEW,Mens,Mens,Yes,Active,UpperCard,Unknown,Showman,,,90,90,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,1690000,52,35,92,90,91,90,93,88,91,89,92,88,93,95,98,98,90,95,21,83,29,70,66,75,97,24,93,82,98,93,95,94,92,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
31,88.95,wwe_smackdown_jacob_fatu,Jacob Fatu,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,MainEvent,Heel,Powerhouse,,,88,88,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,3709000,52,35,91,91,91,93,91,84,85,89,88,88,93,85,80,83,91,83,19,85,17,74,63,74,96,34,91,94,81,88,87,99,98,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
32,88.7,wwe_raw_jey_uso,Jey Uso,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,The Usos,,91,91,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,975000,52,25,91,91,91,94,96,86,88,90,89,90,85,90,86,86,88,87,19,88,22,73,72,82,91,22,92,89,86,86,91,83,89,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
33,88.35,wwe_raw_logan_paul,Logan Paul,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Heel,Showman,,,90,90,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,972000,52,25,93,90,91,97,91,89,91,89,86,93,85,93,99,93,90,95,20,85,33,65,64,76,88,18,86,83,97,90,88,83,92,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
34,88.3,aew_aew_eddie_kingston,Eddie Kingston,AEW,AEW,AEW,Mens,Mens,Yes,Active,UpperCard,Unknown,Brawler,,,,90,"Game-derived estimate from roster tier, title status, current availability, and known public role",Low,1690000,52,35,89,89,89,92,92,93,95,94,94,89,92,91,93,87,93,90,11,86,27,64,75,83,95,29,96,91,90,91,85,93,99,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
35,87.95,aew_aew_pac,PAC,AEW,AEW,AEW,Mens,Mens,Yes,Active,UpperCard,Unknown,RingGeneral,Death Riders,,89,89,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,1684000,52,35,91,88,89,93,91,89,86,91,88,90,92,95,96,96,90,93,15,79,30,61,73,80,98,36,96,86,96,92,91,93,89,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
36,87.95,aew_aew_adam_copeland,Adam Copeland,AEW,AEW,AEW,Mens,Mens,Yes,Active,UpperCard,Unknown,RingGeneral,Copeland & Christian,,89,89,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,1684000,52,35,91,88,89,93,91,89,86,91,88,90,92,95,96,96,90,93,15,79,30,61,73,80,98,36,96,86,96,92,91,93,89,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
37,87.55,wwe_raw_bayley,Bayley,WWE,Raw,Raw,Womens,Womens,Yes,Active,UpperCard,Unknown,RingGeneral,,,89,89,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,1936000,52,35,86,91,88,90,91,91,94,83,84,89,89,87,91,88,83,89,12,83,28,69,79,82,94,37,95,96,89,87,91,90,95,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
38,87.55,aew_aew_samoa_joe,Samoa Joe,AEW,AEW,AEW,Mens,Mens,Yes,Active,UpperCard,Unknown,Brawler,The Opps,,88,88,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,1677000,52,35,89,90,89,88,95,87,86,82,84,89,91,94,97,94,89,93,24,80,28,65,66,76,97,30,89,80,95,91,89,92,93,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
39,87.45,aew_aew_orange_cassidy,Orange Cassidy,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,RingGeneral,,AEW World Trios Champion,86,86,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3200000,52,35,87,89,88,86,87,82,83,79,81,83,92,82,83,78,83,82,13,78,26,69,64,72,90,24,88,83,80,85,82,98,85,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
40,87.45,aew_aew_kevin_knight,Kevin Knight,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,RingGeneral,JetSpeed,AEW TNT Champion,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3175000,52,35,90,91,90,90,94,79,85,83,84,80,89,87,85,87,89,85,18,80,24,67,79,78,88,22,90,85,86,88,74,95,83,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
41,87.45,aew_aew_dax_harwood,Dax Harwood,AEW,AEW,AEW,Mens,Mens,Yes,Active,MainEvent,Unknown,RingGeneral,FTR,AEW World Tag Team Champion,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3175000,52,35,90,91,90,90,94,79,85,83,84,80,89,87,85,87,89,85,18,80,24,67,79,78,88,22,90,85,86,88,74,95,83,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
42,87.1,aew_aew_megan_bayne,Megan Bayne,AEW,AEW,AEW,Womens,Womens,Yes,Active,MainEvent,Unknown,RingGeneral,Divine Dominion,AEW Women's World Tag Team Champion,84,84,Sourced video-game overall used as anchor; component attributes derived for GM simulation,Medium,3175000,52,35,89,90,89,86,86,84,79,88,81,87,91,90,95,92,93,90,25,81,17,66,79,80,87,37,88,82,93,92,81,97,85,https://www.fightful.com/wrestling/updated-all-elite-roster/,https://www.thesmackdownhotel.com/roster/aew/,https://www.thesmackdownhotel.com/aew-fight-forever/roster/,"AEW roster/availability from Fightful, cross-checkable with TSDH. AEW component stats are game-derived estimates because current public per-attribute ratings are not available."
43,86.95,wwe_smackdown_sami_zayn,Sami Zayn,WWE,SmackDown,SmackDown,Mens,Mens,Yes,Active,Midcard,Heel,RingGeneral,,,89,89,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,968000,52,25,90,89,89,88,92,90,89,85,91,88,83,91,96,91,88,92,13,86,23,65,79,85,94,27,92,91,93,88,91,81,87,https://www.thesmackdownhotel.com/roster/wwe/smackdown/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
44,86.95,wwe_raw_la_knight,LA Knight,WWE,Raw,Raw,Mens,Mens,Yes,Active,Midcard,Face,RingGeneral,,,89,89,Sourced video-game overall used as anchor; component attributes derived for GM simulation,High,968000,52,25,90,89,89,88,92,90,89,85,91,88,83,91,96,91,88,92,13,86,23,65,79,85,94,27,92,91,93,88,91,81,87,https://www.thesmackdownhotel.com/roster/wwe/raw/,https://www.wwe.com/superstars,https://www.operationsports.com/wwe-2k26-ratings-list/,Roster source captured from current TSDH brand page; ratings anchored to WWE 2K26 when present.
