rank,id,name,status,matched_page,page_url,pageimage,image_url,note
33,aew-aew-orange-cassidy,Orange Cassidy,saved,Orange Cassidy,https://prowrestling.fandom.com/wiki/Orange_Cassidy,Orange_Cassidy2.jpg,https://static.wikia.nocookie.net/prowrestling/images/b/bd/Orange_Cassidy2.jpg/revision/latest?cb=20191024165421,Saved square portrait from Pro Wrestling Fandom page image
34,aew-aew-jay-white,Jay White,saved,Jay White,https://prowrestling.fandom.com/wiki/Jay_White,Jay_White_2020.png,https://static.wikia.nocookie.net/prowrestling/images/0/08/Jay_White_2020.png/revision/latest?cb=20201224183657,Saved square portrait from Pro Wrestling Fandom page image
35,aew-aew-megan-bayne,Megan Bayne,saved,Megan Bayne,https://prowrestling.fandom.com/wiki/Megan_Bayne,Megan_Bayne_2025.png,https://static.wikia.nocookie.net/prowrestling/images/6/6e/Megan_Bayne_2025.png/revision/latest?cb=20251224121653,Saved square portrait from Pro Wrestling Fandom page image
36,aew-aew-eddie-kingston,Eddie Kingston,saved,Eddie Kingston,https://prowrestling.fandom.com/wiki/Eddie_Kingston,Eddie_Kingston_-_24176825.jpg,https://static.wikia.nocookie.net/prowrestling/images/a/a4/Eddie_Kingston_-_24176825.jpg/revision/latest?cb=20180315225001,Saved square portrait from Pro Wrestling Fandom page image
37,aew-aew-adam-copeland,Adam Copeland,saved,Edge,https://prowrestling.fandom.com/wiki/Edge,EDGE_2022.png,https://static.wikia.nocookie.net/prowrestling/images/e/e6/EDGE_2022.png/revision/latest/scale-to-width-down/649?cb=20220404023553,Saved square portrait from Pro Wrestling Fandom page image
38,aew-aew-pac,PAC,saved,Neville,https://prowrestling.fandom.com/wiki/Neville,Neville_(2017).png,https://static.wikia.nocookie.net/prowrestling/images/7/75/Neville_%282017%29.png/revision/latest/scale-to-width-down/674?cb=20170107195856,Saved square portrait from Pro Wrestling Fandom page image
39,wwe-raw-jey-uso,Jey Uso,saved,Jey Uso,https://prowrestling.fandom.com/wiki/Jey_Uso,JeyUsofull2022.png,https://static.wikia.nocookie.net/prowrestling/images/3/31/JeyUsofull2022.png/revision/latest?cb=20220503061802,Saved square portrait from Pro Wrestling Fandom page image
40,aew-aew-cash-wheeler,Cash Wheeler,saved,Dash Wilder,https://prowrestling.fandom.com/wiki/Dash_Wilder,Dashwilder_1_full_20140829.png,https://static.wikia.nocookie.net/prowrestling/images/e/e2/Dashwilder_1_full_20140829.png/revision/latest?cb=20140902170227,Saved square portrait from Pro Wrestling Fandom page image
41,aew-aew-kyle-o-reilly,Kyle O'Reilly,saved,Kyle O'Reilly,https://prowrestling.fandom.com/wiki/Kyle_O%27Reilly,Kyle_O'Reilly_stat--538ea4bd83f36c787a3a345d72ee7ac4.png,https://static.wikia.nocookie.net/prowrestling/images/8/87/Kyle_O%27Reilly_stat--538ea4bd83f36c787a3a345d72ee7ac4.png/revision/latest?cb=20180208215746,Saved square portrait from Pro Wrestling Fandom page image
42,wwe-raw-bayley,Bayley,saved,Bayley,https://prowrestling.fandom.com/wiki/Bayley,Bayley_2024.png,https://static.wikia.nocookie.net/prowrestling/images/5/5b/Bayley_2024.png/revision/latest/scale-to-width-down/660?cb=20240407050607,Saved square portrait from Pro Wrestling Fandom page image
43,aew-aew-samoa-joe,Samoa Joe,saved,Samoa Joe,https://prowrestling.fandom.com/wiki/Samoa_Joe,Samoa_Joe_06_2015.png,https://static.wikia.nocookie.net/prowrestling/images/c/c9/Samoa_Joe_06_2015.png/revision/latest?cb=20150629174743,Saved square portrait from Pro Wrestling Fandom page image
44,wwe-raw-logan-paul,Logan Paul,saved,Logan Paul,https://prowrestling.fandom.com/wiki/Logan_Paul,Logan_Paul_WWE_Render.png,https://static.wikia.nocookie.net/prowrestling/images/4/44/Logan_Paul_WWE_Render.png/revision/latest?cb=20220731201012,Saved square portrait from Pro Wrestling Fandom page image
45,aew-aew-roderick-strong,Roderick Strong,saved,Roderick Strong,https://prowrestling.fandom.com/wiki/Roderick_Strong,Roderick_Strong_stat_photo_UE.png,https://static.wikia.nocookie.net/prowrestling/images/b/b5/Roderick_Strong_stat_photo_UE.png/revision/latest?cb=20190602071709,Saved square portrait from Pro Wrestling Fandom page image
46,aew-aew-darby-allin,Darby Allin,saved,Darby Allin,https://prowrestling.fandom.com/wiki/Darby_Allin,Darby_Allin.png,https://static.wikia.nocookie.net/prowrestling/images/e/e3/Darby_Allin.png/revision/latest?cb=20191121163102,Saved square portrait from Pro Wrestling Fandom page image
47,wwe-smackdown-nia-jax,Nia Jax,saved,Nia Jax,https://prowrestling.fandom.com/wiki/Nia_Jax,Nia_Jax_2024.png,https://static.wikia.nocookie.net/prowrestling/images/d/df/Nia_Jax_2024.png/revision/latest?cb=20240305184424,Saved square portrait from Pro Wrestling Fandom page image
48,aew-aew-bobby-lashley,Bobby Lashley,saved,Bobby Lashley,https://prowrestling.fandom.com/wiki/Bobby_Lashley,Bobby_Lashley_2018_Full.png,https://static.wikia.nocookie.net/prowrestling/images/a/ad/Bobby_Lashley_2018_Full.png/revision/latest?cb=20180905122312,Saved square portrait from Pro Wrestling Fandom page image
49,wwe-raw-bronson-reed,Bronson Reed,saved,Jonah Rock,https://prowrestling.fandom.com/wiki/Jonah_Rock,Bronson_Reed_stat.png,https://static.wikia.nocookie.net/prowrestling/images/f/fb/Bronson_Reed_stat.png/revision/latest?cb=20190718021659,Saved square portrait from Pro Wrestling Fandom page image
50,wwe-smackdown-kevin-owens,Kevin Owens,saved,Kevin Owens,https://prowrestling.fandom.com/wiki/Kevin_Owens,Kevin_owens_png_render_wwe_2021_by_v_mozz_dej6faa-pre.png,https://static.wikia.nocookie.net/prowrestling/images/e/eb/Kevin_owens_png_render_wwe_2021_by_v_mozz_dej6faa-pre.png/revision/latest?cb=20220805065801,Saved square portrait from Pro Wrestling Fandom page image
51,aew-aew-mark-davis,Mark Davis,saved,Mark Davis,https://prowrestling.fandom.com/wiki/Mark_Davis,Mark_Davis_Updated.png,https://static.wikia.nocookie.net/prowrestling/images/7/7b/Mark_Davis_Updated.png/revision/latest?cb=20220620070723,Saved square portrait from Pro Wrestling Fandom page image
52,wwe-raw-la-knight,LA Knight,saved,LA Knight,https://prowrestling.fandom.com/wiki/LA_Knight,LA_Knight.png,https://static.wikia.nocookie.net/prowrestling/images/a/a1/LA_Knight.png/revision/latest?cb=20210517024519,Saved square portrait from Pro Wrestling Fandom page image
53,wwe-smackdown-sami-zayn,Sami Zayn,saved,Sami Zayn,https://prowrestling.fandom.com/wiki/Sami_Zayn,SamiZayn2022.png,https://static.wikia.nocookie.net/prowrestling/images/7/7b/SamiZayn2022.png/revision/latest?cb=20220503062709,Saved square portrait from Pro Wrestling Fandom page image
54,wwe-smackdown-giulia,Giulia,saved,Giulia,https://prowrestling.fandom.com/wiki/Giulia,Giulia_NXT.png,https://static.wikia.nocookie.net/prowrestling/images/e/e2/Giulia_NXT.png/revision/latest?cb=20241001090959,Saved square portrait from Pro Wrestling Fandom page image
55,wwe-raw-nattie,Nattie,saved,Natalya,https://prowrestling.fandom.com/wiki/Natalya,Natalya_2017_stat_photo.png,https://static.wikia.nocookie.net/prowrestling/images/8/8c/Natalya_2017_stat_photo.png/revision/latest?cb=20170117225429,Saved square portrait from Pro Wrestling Fandom page image
56,wwe-raw-raquel-rodriguez,Raquel Rodriguez,saved,Raquel Rodriguez,https://prowrestling.fandom.com/wiki/Raquel_Rodriguez,Raquel_Rodriguez_2026.png,https://static.wikia.nocookie.net/prowrestling/images/f/fb/Raquel_Rodriguez_2026.png/revision/latest?cb=20260127161835,Saved square portrait from Pro Wrestling Fandom page image
57,wwe-smackdown-damian-priest,Damian Priest,saved,Damian Priest,https://prowrestling.fandom.com/wiki/Damian_Priest,DamianPriest2022.png,https://static.wikia.nocookie.net/prowrestling/images/d/d3/DamianPriest2022.png/revision/latest?cb=20220503053221,Saved square portrait from Pro Wrestling Fandom page image
58,aew-aew-ricochet,Ricochet,saved,Ricochet,https://prowrestling.fandom.com/wiki/Ricochet,Ricochet_stat_photo.png,https://static.wikia.nocookie.net/prowrestling/images/1/12/Ricochet_stat_photo.png/revision/latest?cb=20180329232809,Saved square portrait from Pro Wrestling Fandom page image
59,wwe-raw-sheamus,Sheamus,saved,Sheamus,https://prowrestling.fandom.com/wiki/Sheamus,Sheamus2022.png,https://static.wikia.nocookie.net/prowrestling/images/8/85/Sheamus2022.png/revision/latest?cb=20220503063137,Saved square portrait from Pro Wrestling Fandom page image
60,wwe-raw-finn-b-lor,Finn Bálor,saved,Finn Bálor,https://prowrestling.fandom.com/wiki/Finn_B%C3%A1lor,Finn_Bálor_Judgement_Day_Look.png,https://static.wikia.nocookie.net/prowrestling/images/1/1b/Finn_B%C3%A1lor_Judgement_Day_Look.png/revision/latest/scale-to-width-down/834?cb=20231115195601,Saved square portrait from Pro Wrestling Fandom page image
61,wwe-raw-dominik-mysterio,Dominik Mysterio,saved,Dominik Mysterio,https://prowrestling.fandom.com/wiki/Dominik_Mysterio,Dominik_Mysterio_2025.png,https://static.wikia.nocookie.net/prowrestling/images/1/1b/Dominik_Mysterio_2025.png/revision/latest?cb=20250204212937,Saved square portrait from Pro Wrestling Fandom page image
62,aew-aew-lena-kross,Lena Kross,saved,Lena Kross,https://prowrestling.fandom.com/wiki/Lena_Kross,Lena_Kross_2026.png,https://static.wikia.nocookie.net/prowrestling/images/9/91/Lena_Kross_2026.png/revision/latest/scale-to-width-down/1135?cb=20260316090433,Saved square portrait from Pro Wrestling Fandom page image
63,wwe-smackdown-alexa-bliss,Alexa Bliss,saved,Alexa Bliss,https://prowrestling.fandom.com/wiki/Alexa_Bliss,Alexa_Bliss_2022_render.png,https://static.wikia.nocookie.net/prowrestling/images/e/e9/Alexa_Bliss_2022_render.png/revision/latest?cb=20220614224350,Saved square portrait from Pro Wrestling Fandom page image
64,wwe-raw-jimmy-uso,Jimmy Uso,saved,Jimmy Uso,https://prowrestling.fandom.com/wiki/Jimmy_Uso,JimmyUsofull2022.png,https://static.wikia.nocookie.net/prowrestling/images/3/30/JimmyUsofull2022.png/revision/latest?cb=20220503062024,Saved square portrait from Pro Wrestling Fandom page image
65,wwe-smackdown-shinsuke-nakamura,Shinsuke Nakamura,saved,Shinsuke Nakamura,https://prowrestling.fandom.com/wiki/Shinsuke_Nakamura,Shinsuke_Nakamura2.png,https://static.wikia.nocookie.net/prowrestling/images/d/dd/Shinsuke_Nakamura2.png/revision/latest?cb=20191026030215,Saved square portrait from Pro Wrestling Fandom page image
66,wwe-raw-penta,Penta,saved,Penta El Zero M,https://prowrestling.fandom.com/wiki/Penta_El_Zero_M,Penta2019.jpg,https://static.wikia.nocookie.net/prowrestling/images/3/32/Penta2019.jpg/revision/latest?cb=20190216191637,Saved square portrait from Pro Wrestling Fandom page image
67,wwe-smackdown-chelsea-green,Chelsea Green,saved,Chelsea Green,https://prowrestling.fandom.com/wiki/Chelsea_Green,Chelsea_Green_2023.png,https://static.wikia.nocookie.net/prowrestling/images/f/f3/Chelsea_Green_2023.png/revision/latest?cb=20230412041848,Saved square portrait from Pro Wrestling Fandom page image
68,wwe-smackdown-ilja-dragunov,Ilja Dragunov,saved,Ilja Dragunov,https://prowrestling.fandom.com/wiki/Ilja_Dragunov,Ilja_Dragunov_stat.png,https://static.wikia.nocookie.net/prowrestling/images/b/ba/Ilja_Dragunov_stat.png/revision/latest?cb=20190820180052,Saved square portrait from Pro Wrestling Fandom page image
69,wwe-raw-roxanne-perez,Roxanne Perez,saved,Roxanne Perez,https://prowrestling.fandom.com/wiki/Roxanne_Perez,Roxanne_Perez_2026.png,https://static.wikia.nocookie.net/prowrestling/images/a/a8/Roxanne_Perez_2026.png/revision/latest?cb=20260127161504,Saved square portrait from Pro Wrestling Fandom page image
70,wwe-smackdown-trick-williams,Trick Williams,saved,Trick Williams,https://prowrestling.fandom.com/wiki/Trick_Williams,Trick_Williams.png,https://static.wikia.nocookie.net/prowrestling/images/a/a4/Trick_Williams.png/revision/latest/scale-to-width-down/1035?cb=20230412035500,Saved square portrait from Pro Wrestling Fandom page image
71,aew-aew-mark-briscoe,Mark Briscoe,saved,Mark Briscoe,https://prowrestling.fandom.com/wiki/Mark_Briscoe,Markbriscoebio_0.png,https://static.wikia.nocookie.net/prowrestling/images/6/68/Markbriscoebio_0.png/revision/latest?cb=20130903005529,Saved square portrait from Pro Wrestling Fandom page image
72,aew-aew-tommaso-ciampa,Tommaso Ciampa,saved,Tommaso Ciampa,https://prowrestling.fandom.com/wiki/Tommaso_Ciampa,Tommaso_Ciampa_stat_photo.png,https://static.wikia.nocookie.net/prowrestling/images/9/97/Tommaso_Ciampa_stat_photo.png/revision/latest?cb=20180303004407,Saved square portrait from Pro Wrestling Fandom page image
73,aew-aew-christian-cage,Christian Cage,saved,Christian,https://prowrestling.fandom.com/wiki/Christian,Christian_full.png,https://static.wikia.nocookie.net/prowrestling/images/2/2a/Christian_full.png/revision/latest?cb=20120312120547,Saved square portrait from Pro Wrestling Fandom page image
74,wwe-raw-el-grande-americano,El Grande Americano,saved,Chad Gable,https://prowrestling.fandom.com/wiki/Chad_Gable,ChadGable2022.png,https://static.wikia.nocookie.net/prowrestling/images/5/51/ChadGable2022.png/revision/latest?cb=20220503053004,Saved square portrait from Pro Wrestling Fandom page image
75,aew-aew-matt-jackson,Matt Jackson,saved,Matt Jackson,https://prowrestling.fandom.com/wiki/Matt_Jackson,Matt_Jackson_AEW_2022.png,https://static.wikia.nocookie.net/prowrestling/images/3/39/Matt_Jackson_AEW_2022.png/revision/latest?cb=20220905093904,Saved square portrait from Pro Wrestling Fandom page image
76,aew-aew-nick-jackson,Nick Jackson,saved,Nick Jackson,https://prowrestling.fandom.com/wiki/Nick_Jackson,Nick_Jackson_AEW_2022.png,https://static.wikia.nocookie.net/prowrestling/images/5/55/Nick_Jackson_AEW_2022.png/revision/latest?cb=20220905093758,Saved square portrait from Pro Wrestling Fandom page image
77,wwe-raw-original-el-grande-americano,Original El Grande Americano,saved,Rey Mysterio,https://prowrestling.fandom.com/wiki/Rey_Mysterio,619.png,https://static.wikia.nocookie.net/prowrestling/images/2/2e/619.png/revision/latest/scale-to-width-down/1197?cb=20220805070508,Saved square portrait from Pro Wrestling Fandom page image
78,wwe-smackdown-solo-sikoa,Solo Sikoa,saved,Solo Sikoa,https://prowrestling.fandom.com/wiki/Solo_Sikoa,Solo_Sikoa_2026.png,https://static.wikia.nocookie.net/prowrestling/images/a/aa/Solo_Sikoa_2026.png/revision/latest?cb=20260403110651,Saved square portrait from Pro Wrestling Fandom page image
79,wwe-raw-rey-mysterio,Rey Mysterio,saved,Rey Mysterio,https://prowrestling.fandom.com/wiki/Rey_Mysterio,619.png,https://static.wikia.nocookie.net/prowrestling/images/2/2e/619.png/revision/latest/scale-to-width-down/1197?cb=20220805070508,Saved square portrait from Pro Wrestling Fandom page image
80,aew-aew-athena,Athena,saved,Ember Moon,https://prowrestling.fandom.com/wiki/Ember_Moon,Ember_Moon.png,https://static.wikia.nocookie.net/prowrestling/images/b/b1/Ember_Moon.png/revision/latest/scale-to-width-down/1273?cb=20210223074623,Saved square portrait from Pro Wrestling Fandom page image
81,aew-aew-hikaru-shida,Hikaru Shida,saved,Hikaru Shida,https://prowrestling.fandom.com/wiki/Hikaru_Shida,Hikaru_Shida_2023.png,https://static.wikia.nocookie.net/prowrestling/images/f/f3/Hikaru_Shida_2023.png/revision/latest?cb=20231028014257,Saved square portrait from Pro Wrestling Fandom page image
82,aew-aew-jamie-hayter,Jamie Hayter,saved,Jamie Hayter,https://prowrestling.fandom.com/wiki/Jamie_Hayter,Jamie_Hayter_2024.png,https://static.wikia.nocookie.net/prowrestling/images/8/83/Jamie_Hayter_2024.png/revision/latest?cb=20240901074514,Saved square portrait from Pro Wrestling Fandom page image
83,aew-aew-kris-statlander,Kris Statlander,saved,Kris Statlander,https://prowrestling.fandom.com/wiki/Kris_Statlander,Kris_Statlander_2023.png,https://static.wikia.nocookie.net/prowrestling/images/5/55/Kris_Statlander_2023.png/revision/latest?cb=20230531012852,Saved square portrait from Pro Wrestling Fandom page image
84,wwe-raw-lyra-valkyria,Lyra Valkyria,saved,Lyra Valkyria,https://prowrestling.fandom.com/wiki/Lyra_Valkyria,Lyra_Valkyria.png,https://static.wikia.nocookie.net/prowrestling/images/c/ce/Lyra_Valkyria.png/revision/latest?cb=20230412032424,Saved square portrait from Pro Wrestling Fandom page image
85,aew-aew-thunder-rosa,Thunder Rosa,saved,Thunder Rosa,https://prowrestling.fandom.com/wiki/Thunder_Rosa,Thunder_Rosa_2021_AEW.png,https://static.wikia.nocookie.net/prowrestling/images/c/ce/Thunder_Rosa_2021_AEW.png/revision/latest?cb=20220808123643,Saved square portrait from Pro Wrestling Fandom page image
86,wwe-raw-ethan-page,Ethan Page,saved,Ethan Page,https://prowrestling.fandom.com/wiki/Ethan_Page,Ethan_Page_render.png,https://static.wikia.nocookie.net/prowrestling/images/1/17/Ethan_Page_render.png/revision/latest?cb=20220615233151,Saved square portrait from Pro Wrestling Fandom page image
87,aew-aew-hangman-adam-page,"""Hangman"" Adam Page",saved,Adam Page,https://prowrestling.fandom.com/wiki/Adam_Page,Hangman_Adam.PNG,https://static.wikia.nocookie.net/prowrestling/images/f/fa/Hangman_Adam.PNG/revision/latest?cb=20220805060355,Saved square portrait from Pro Wrestling Fandom page image
