rank,id,name,status,wikidata_qid,wikidata_label,wikidata_description,commons_file,source_url,license,artist,credit,note
11,wwe-smackdown-gunther,Gunther,missing,Q14775914,Gunther,male given name,,,,,,No Wikidata P18 image
12,wwe-raw-iyo-sky,IYO SKY,error,Q6061727,Iyo Sky,Japanese professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q6061727&props=claims&format=json
13,wwe-raw-liv-morgan,Liv Morgan,saved,Q20807289,Liv Morgan,American professional wrestler,Liv Morgan Jan 2023 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Liv_Morgan_Jan_2023_(cropped).jpg,Public domain,US Air Force / Jason Wilkinson,230126-F-SE617-1681,Saved from Wikimedia Commons P18 image
14,wwe-smackdown-drew-mcintyre,Drew McIntyre,saved,Q311944,Drew McIntyre,Scottish professional wrestler,"Drew McIntyre, WrestleMania XL (cropped).jpg","https://commons.wikimedia.org/wiki/File:Drew_McIntyre,_WrestleMania_XL_(cropped).jpg",CC BY 2.0,Diego Serrano,https://www.flickr.com/photos/202213156@N02/54307160164/,Saved from Wikimedia Commons P18 image
15,wwe-smackdown-randy-orton,Randy Orton,error,Q44449,Randy Orton,American professional wrestler (born 1980),Randy Orton Tribute to the Troops 2010.jpg,https://commons.wikimedia.org/wiki/File:Randy_Orton_Tribute_to_the_Troops_2010.jpg,CC BY 2.0,"Shamsuddin Muhammad from Fort Hood, TX, USA",Randy Orton 3,HTTPError: 429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Randy_Orton_Tribute_to_the_Troops_2010.jpg/1280px-Randy_Orton_Tribute_to_the_Troops_2010.jpg
16,aew-aew-will-ospreay,Will Ospreay,error,Q21622285,Will Ospreay,British professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q21622285&props=claims&format=json
17,aew-aew-mercedes-mon,Mercedes Moné,saved,Q6818195,Mercedes Moné,American professional wrestler and actress,Sasha Banks WrestleMania 32 Axxess.jpg,https://commons.wikimedia.org/wiki/File:Sasha_Banks_WrestleMania_32_Axxess.jpg,CC BY-SA 2.0,Miguel Discart,https://www.flickr.com/photos/miguel_discart/27541814986/,Saved from Wikimedia Commons P18 image
18,wwe-raw-naomi,Naomi,missing,Q18508449,Naomi,female given name,,,,,,No Wikidata P18 image
19,wwe-raw-stephanie-vaquer,Stephanie Vaquer,saved,Q114976039,Stephanie Vaquer,Chilean professional wrestler,Stephanie Vaquer.jpg,https://commons.wikimedia.org/wiki/File:Stephanie_Vaquer.jpg,CC BY-SA 4.0,Ddaanniieellaa vargas,Own work,Saved from Wikimedia Commons P18 image
20,wwe-raw-asuka,Asuka,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Asuka+wrestler&language=en&format=json&limit=8
21,aew-aew-jon-moxley,Jon Moxley,saved,Q113384,Jon Moxley,American professional wrestler and actor,Dean Ambrose WrestleMania 32 Axxess.jpg,https://commons.wikimedia.org/wiki/File:Dean_Ambrose_WrestleMania_32_Axxess.jpg,CC BY-SA 2.0,Miguel Discart,https://www.flickr.com/photos/miguel_discart/26966815975/,Saved from Wikimedia Commons P18 image
22,wwe-raw-bron-breakker,Bron Breakker,saved,Q105490865,Bronson Rechsteiner,American professional wrestler and football player (born 1997),Bron Breakker - WWE Live RTWM Nottingham March 2025 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Bron_Breakker_-_WWE_Live_RTWM_Nottingham_March_2025_(cropped).jpg,CC BY 4.0,Zippo9310,Own work,Saved from Wikimedia Commons P18 image
23,aew-aew-thekla,Thekla,missing,Q21147318,Thekla,female given name,,,,,,No Wikidata P18 image
24,aew-aew-willow-nightingale,Willow Nightingale,error,Q111170869,Willow Nightingale,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q111170869&props=claims&format=json
25,wwe-smackdown-jade-cargill,Jade Cargill,saved,Q101506175,Jade Cargill,American professional wrestler and fitness model,All Elite Wrestling TBS Champion - Jade Cargill (cropped 2).jpg,https://commons.wikimedia.org/wiki/File:All_Elite_Wrestling_TBS_Champion_-_Jade_Cargill_(cropped_2).jpg,CC BY-SA 4.0,All Elite Wrestling,All Elite Wrestling (Uploader is an employee of the company),Saved from Wikimedia Commons P18 image
26,wwe-smackdown-charlotte-flair,Charlotte Flair,saved,Q2891336,Charlotte Flair,American professional wrestler and actress,Charlotte Flair Photo Op GalaxyCon Raleigh 2019.jpg,https://commons.wikimedia.org/wiki/File:Charlotte_Flair_Photo_Op_GalaxyCon_Raleigh_2019.jpg,CC BY 2.0,Super Festivals,https://www.flickr.com/photos/superfestivals/48482672207,Saved from Wikimedia Commons P18 image
27,aew-aew-swerve-strickland,Swerve Strickland,saved,Q19668687,Swerve Strickland,American professional wrestler,Shane Strickland 2017.jpg,https://commons.wikimedia.org/wiki/File:Shane_Strickland_2017.jpg,CC BY-SA 2.0,Mike Kalasnik,https://www.flickr.com/photos/10542402@N06/34478818982/in/album-72157683686205996/,Saved from Wikimedia Commons P18 image
28,wwe-smackdown-jacob-fatu,Jacob Fatu,error,Q62059165,Jacob Fatu,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q62059165&props=claims&format=json
29,wwe-smackdown-tiffany-stratton,Tiffany Stratton,saved,Q112123744,Tiffany Stratton,American professional wrestler,Tiffany Stratton August 2024 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Tiffany_Stratton_August_2024_(cropped).jpg,CC BY 2.0,Diego Serrano,https://www.flickr.com/photos/202213156@N02/54306985686/,Saved from Wikimedia Commons P18 image
30,aew-aew-mjf,MJF,saved,Q61102628,Maxwell Jacob Friedman,American professional wrestler,MJF May 2019.jpg,https://commons.wikimedia.org/wiki/File:MJF_May_2019.jpg,CC BY-SA 4.0,Scott Lesh,Own work,Saved from Wikimedia Commons P18 image
31,aew-aew-dax-harwood,Dax Harwood,saved,Q17231196,Scott Dawson,American professional wrestler,KC McKnight.jpg,https://commons.wikimedia.org/wiki/File:KC_McKnight.jpg,CC BY-SA 2.0,Blake Arledge,102607 (194),Saved from Wikimedia Commons P18 image
32,aew-aew-kevin-knight,Kevin Knight,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Kevin+Knight+wrestler&language=en&format=json&limit=8
33,aew-aew-orange-cassidy,Orange Cassidy,saved,Q66481446,Orange Cassidy,American professional wrestler signed to All Elite Wrestling,Orange Cassidy Photo Op GalaxyCon Raleigh 2023.jpg,https://commons.wikimedia.org/wiki/File:Orange_Cassidy_Photo_Op_GalaxyCon_Raleigh_2023.jpg,CC BY 2.0,"Super Festivals from Ft. Lauderdale, USA",C01010,Saved from Wikimedia Commons P18 image
34,aew-aew-jay-white,Jay White,saved,Q28151840,Jay White,New Zealand professional wrestler,Jay White - AEW Dynamite - 2023-04-26050 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Jay_White_-_AEW_Dynamite_-_2023-04-26050_(cropped).jpg,CC BY-SA 4.0,All Elite Wrestling,All Elite Wrestling,Saved from Wikimedia Commons P18 image
35,aew-aew-megan-bayne,Megan Bayne,saved,Q122875216,Megan Bayne,American professional wrestler,Megan Bayne in April 2024 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Megan_Bayne_in_April_2024_(cropped).jpg,CC BY 2.0,J O Y F U L 🐻 V I O L E N C E,https://www.flickr.com/photos/joyfulviolence/53645367876/,Saved from Wikimedia Commons P18 image
36,aew-aew-eddie-kingston,Eddie Kingston,error,Q1282865,Eddie Kingston,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q1282865&props=claims&format=json
37,aew-aew-adam-copeland,Adam Copeland,saved,Q44164,Edge,Canadian professional wrestler and actor (born 1973),Adam Copeland 2013.jpg,https://commons.wikimedia.org/wiki/File:Adam_Copeland_2013.jpg,CC BY 2.0,"Keith McDuffee from Northborough, MA, USA",Flickr,Saved from Wikimedia Commons P18 image
38,aew-aew-pac,PAC,saved,Q847142,Pacific Time Zone,time zone observing UTC−08:00 during standard time and UTC−07:00 during daylight saving time,NV487NVUTBorder1.jpg,https://commons.wikimedia.org/wiki/File:NV487NVUTBorder1.jpg,CC BY-SA 3.0,GerthMichael,Self-photographed,Saved from Wikimedia Commons P18 image
39,wwe-raw-jey-uso,Jey Uso,error,Q2500320,Jey Uso,American professional wrestler,Jey Uso 2024 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Jey_Uso_2024_(cropped).jpg,CC BY-SA 2.0,Carter Sterling,https://www.flickr.com/photos/188354731@N05/53690306954/,HTTPError: 429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Jey_Uso_2024_%28cropped%29.jpg/1280px-Jey_Uso_2024_%28cropped%29.jpg
40,aew-aew-cash-wheeler,Cash Wheeler,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Cash+Wheeler&language=en&format=json&limit=8
41,aew-aew-kyle-o-reilly,Kyle O'Reilly,saved,Q3817643,Kyle O'Reilly,Canadian professional wrestler,Kyle o'Reilly double champ 2014.jpg,https://commons.wikimedia.org/wiki/File:Kyle_o%27Reilly_double_champ_2014.jpg,CC BY-SA 3.0,Tabercil,Own work,Saved from Wikimedia Commons P18 image
42,wwe-raw-bayley,Bayley,saved,Q5279406,Bayley,American professional wrestler,Bayley 2018.jpg,https://commons.wikimedia.org/wiki/File:Bayley_2018.jpg,Public domain,Petty Officer 1st Class Joseph Rolfe,180625-N-SH698-1021,Saved from Wikimedia Commons P18 image
43,aew-aew-samoa-joe,Samoa Joe,error,Q381825,Samoa Joe,American professional wrestler,SamoaJoe.jpg,https://commons.wikimedia.org/wiki/File:SamoaJoe.jpg,Public domain,Mshake3 at English Wikipedia,Transferred from en.wikipedia to Commons by Wrestlinglover using CommonsHelper.,HTTPError: 429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/5/59/SamoaJoe.jpg
44,wwe-raw-logan-paul,Logan Paul,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Logan+Paul+wrestler&language=en&format=json&limit=8
45,aew-aew-roderick-strong,Roderick Strong,saved,Q1320900,Roderick Strong,American professional wrestler,Roderick Strong 2016.png,https://commons.wikimedia.org/wiki/File:Roderick_Strong_2016.png,CC BY-SA 2.0,Courtney Rose,https://www.flickr.com/photos/faceturnphotography/25639566876/,Saved from Wikimedia Commons P18 image
46,aew-aew-darby-allin,Darby Allin,saved,Q60194617,Darby Allin,American professional wrestler,Darby Allin in 2019 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Darby_Allin_in_2019_(cropped).jpg,CC0,West Smith,https://www.flickr.com/photos/west_smith/48912465496/,Saved from Wikimedia Commons P18 image
47,wwe-smackdown-nia-jax,Nia Jax,error,Q20901722,Nia Jax,Australian-American professional wrestler,Nia Jax Axxess2018 crop.jpg,https://commons.wikimedia.org/wiki/File:Nia_Jax_Axxess2018_crop.jpg,CC BY-SA 2.0,Shared Account,This image has been extracted from another file,HTTPError: 429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Nia_Jax_Axxess2018_crop.jpg/1280px-Nia_Jax_Axxess2018_crop.jpg
48,aew-aew-bobby-lashley,Bobby Lashley,error,Q317370,Bobby Lashley,American professional wrestler and mixed martial arts (MMA) fighter,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q317370&props=claims&format=json
49,wwe-raw-bronson-reed,Bronson Reed,missing,Q21642629,Bronson Reed,Australian professional wrestler,,,,,,No Wikidata P18 image
50,wwe-smackdown-kevin-owens,Kevin Owens,saved,Q609472,Kevin Owens,Canadian professional wrestler,Kevin Owens Photo Op GalaxyCon Raleigh 2023.jpg,https://commons.wikimedia.org/wiki/File:Kevin_Owens_Photo_Op_GalaxyCon_Raleigh_2023.jpg,CC BY 2.0,"Super Festivals from Ft. Lauderdale, USA",B00113,Saved from Wikimedia Commons P18 image
51,aew-aew-mark-davis,Mark Davis,saved,Q112913308,Mark Davis,Australian professional wrestler (born 1990),Mark Davis (52829149200) (cropped).jpg,https://commons.wikimedia.org/wiki/File:Mark_Davis_(52829149200)_(cropped).jpg,CC BY-SA 2.0,"Ian D'Andrea from Philadelphia, PA",Mark Davis,Saved from Wikimedia Commons P18 image
52,wwe-raw-la-knight,LA Knight,error,Q15056381,LA Knight,American professional wrestler,LA Knight RR24 (2) (headshot).jpg,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&titles=File%3ALA+Knight+RR24+%282%29+%28headshot%29.jpg&prop=imageinfo&iiprop=url%7Cextmetadata%7Csize%7Cmime&iiurlwidth=1200&format=json
53,wwe-smackdown-sami-zayn,Sami Zayn,saved,Q376402,Sami Zayn,Canadian professional wrestler,Sami Zayn WrestleMania 32 Axxess.jpg,https://commons.wikimedia.org/wiki/File:Sami_Zayn_WrestleMania_32_Axxess.jpg,CC BY-SA 2.0,Miguel Discart,https://www.flickr.com/photos/miguel_discart/26872631422/,Saved from Wikimedia Commons P18 image
54,wwe-smackdown-giulia,Giulia,saved,Q75195026,Giulia,Japanese professional wrestler (born 1994),Giulia RR25 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Giulia_RR25_(cropped).jpg,CC BY 2.0,Diego Serrano,https://www.flickr.com/photos/202213156@N02/54306786081/,Saved from Wikimedia Commons P18 image
55,wwe-raw-nattie,Nattie,saved,Q231508,Natalya Neidhart,Canadian professional wrestler and professional wrestling manager,Natalya WrestleMania 32 Axxess.jpg,https://commons.wikimedia.org/wiki/File:Natalya_WrestleMania_32_Axxess.jpg,CC BY-SA 2.0,Miguel Discart,https://www.flickr.com/photos/miguel_discart/27155066966/in/dateposted/,Saved from Wikimedia Commons P18 image
56,wwe-raw-raquel-rodriguez,Raquel Rodriguez,error,Q28971980,Raquel Rodriguez,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q28971980&props=claims&format=json
57,wwe-smackdown-damian-priest,Damian Priest,saved,Q28963127,Damian Priest,Puerto Rican-American professional wrestler,"Damien Priest, April 2024 (cropped).jpg","https://commons.wikimedia.org/wiki/File:Damien_Priest,_April_2024_(cropped).jpg",CC BY 2.0,diegofernandophotography,https://www.flickr.com/photos/202213156@N02/54307425505/,Saved from Wikimedia Commons P18 image
58,aew-aew-ricochet,Ricochet,saved,Q3305005,Ricochet,American professional wrestler,Ricochet March 2016.jpg,https://commons.wikimedia.org/wiki/File:Ricochet_March_2016.jpg,CC BY-SA 2.0,Mike Kalasnik,Flickr,Saved from Wikimedia Commons P18 image
59,wwe-raw-sheamus,Sheamus,error,Q222039,Sheamus,Irish professional wrestler and actor,Sheamus March 2018.jpg,https://commons.wikimedia.org/wiki/File:Sheamus_March_2018.jpg,CC BY-SA 4.0,Mmsnapplez,Own work,HTTPError: 429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Sheamus_March_2018.jpg/1280px-Sheamus_March_2018.jpg
60,wwe-raw-finn-b-lor,Finn Bálor,error,Q984334,Finn Bálor,Irish professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q984334&props=claims&format=json
61,wwe-raw-dominik-mysterio,Dominik Mysterio,saved,Q96471902,Dominik Mysterio,American professional wrestler,WWERingside (cropped).jpg,https://commons.wikimedia.org/wiki/File:WWERingside_(cropped).jpg,CC BY-SA 4.0,Roroshow1,Own work,Saved from Wikimedia Commons P18 image
62,aew-aew-lena-kross,Lena Kross,saved,Q137760198,Lena Kross,Australian professional wrestler,Lena Kross in April 2025 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Lena_Kross_in_April_2025_(cropped).jpg,CC BY 2.0,J O Y F U L 🐻 V I O L E N C E,https://www.flickr.com/photos/joyfulviolence/54474470965/,Saved from Wikimedia Commons P18 image
63,wwe-smackdown-alexa-bliss,Alexa Bliss,saved,Q16525974,Alexa Bliss,American professional wrestler,Alexa Bliss RR25 (1) (cropped).jpg,https://commons.wikimedia.org/wiki/File:Alexa_Bliss_RR25_(1)_(cropped).jpg,CC BY 2.0,Diego Serrano,WWE Royal Rumble 2025,Saved from Wikimedia Commons P18 image
64,wwe-raw-jimmy-uso,Jimmy Uso,error,Q2627833,Jimmy Uso,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q2627833&props=claims&format=json
65,wwe-smackdown-shinsuke-nakamura,Shinsuke Nakamura,saved,Q1171177,Shinsuke Nakamura,Japanese professional wrestler,Shinsuke Nakamura 2015.JPG,https://commons.wikimedia.org/wiki/File:Shinsuke_Nakamura_2015.JPG,CC BY-SA 4.0,ゾーヒョー,Own work,Saved from Wikimedia Commons P18 image
66,wwe-raw-penta,Penta,saved,Q18686112,Pentagón Jr.,Mexican professional wrestler,Penta RR25 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Penta_RR25_(cropped).jpg,CC BY 2.0,Diego Serrano,WWE Royal Rumble 2025,Saved from Wikimedia Commons P18 image
67,wwe-smackdown-chelsea-green,Chelsea Green,error,Q25408575,Chelsea Green,Canadian professional wrestler,Chelsea Green 2020.jpg,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://commons.wikimedia.org/w/api.php?action=query&titles=File%3AChelsea+Green+2020.jpg&prop=imageinfo&iiprop=url%7Cextmetadata%7Csize%7Cmime&iiurlwidth=1200&format=json
68,wwe-smackdown-ilja-dragunov,Ilja Dragunov,saved,Q72743507,Ilja Dragunov,Russian professional wrestler,Ilja Dragunov 16 Carat Gold 2020 N3 (2).jpg,https://commons.wikimedia.org/wiki/File:Ilja_Dragunov_16_Carat_Gold_2020_N3_(2).jpg,CC BY-SA 2.0,Photos N Effect from Germany,wXw 16 Carat Gold 2020 - Night 3,Saved from Wikimedia Commons P18 image
69,wwe-raw-roxanne-perez,Roxanne Perez,saved,Q108530499,Roxanne Perez,American professional wrestler,Roxanne Perez RR25 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Roxanne_Perez_RR25_(cropped).jpg,CC BY 2.0,Diego Serrano,WWE Royal Rumble 2025,Saved from Wikimedia Commons P18 image
70,wwe-smackdown-trick-williams,Trick Williams,error,Q109669685,Trick Williams,American professional wrestler (born 1994),Trick Williams FOS 2026 (cropped).png,https://commons.wikimedia.org/wiki/File:Trick_Williams_FOS_2026_(cropped).png,CC BY 4.0,Front Office Sports,https://www.youtube.com/watch?v=r6WWaRiPKOc,HTTPError: 429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/e/ea/Trick_Williams_FOS_2026_%28cropped%29.png
71,aew-aew-mark-briscoe,Mark Briscoe,error,Q13411563,Mark Briscoe,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q13411563&props=claims&format=json
72,aew-aew-tommaso-ciampa,Tommaso Ciampa,saved,Q685532,Tommaso Ciampa,American professional wrestler,Tommaso Ciampa 2020 (cropped).jpg,https://commons.wikimedia.org/wiki/File:Tommaso_Ciampa_2020_(cropped).jpg,CC BY-SA 4.0,Mmsnapplez,This image has been extracted from another file,Saved from Wikimedia Commons P18 image
73,aew-aew-christian-cage,Christian Cage,saved,Q44537,Christian,Canadian professional wrestler and actor,Christian Photo Op GalaxyCon Richmond 2020.jpg,https://commons.wikimedia.org/wiki/File:Christian_Photo_Op_GalaxyCon_Richmond_2020.jpg,CC BY 2.0,Super Festivals,https://www.flickr.com/photos/superfestivals/49732736007/,Saved from Wikimedia Commons P18 image
74,wwe-raw-el-grande-americano,El Grande Americano,saved,Q5087022,Chas Betts,American professional and amateur wrestler,Chad Gable NXT Takeover Dallas 2016.jpg,https://commons.wikimedia.org/wiki/File:Chad_Gable_NXT_Takeover_Dallas_2016.jpg,CC BY-SA 2.0,Miguel Discart,https://www.flickr.com/photos/miguel_discart/26441415664/in/album-72157665994257234/,Saved from Wikimedia Commons P18 image
75,aew-aew-matt-jackson,Matt Jackson,error,Q2596323,Matt Jackson,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q2596323&props=claims&format=json
76,aew-aew-nick-jackson,Nick Jackson,saved,Q2226671,Nick Jackson,American professional wrestler,Nick Jackson (cropped).jpg,https://commons.wikimedia.org/wiki/File:Nick_Jackson_(cropped).jpg,CC BY 2.0,Troy Teague,https://www.flickr.com/photos/troyteague/28223927848/,Saved from Wikimedia Commons P18 image
77,wwe-raw-original-el-grande-americano,Original El Grande Americano,saved,Q5087022,Chas Betts,American professional and amateur wrestler,Chad Gable NXT Takeover Dallas 2016.jpg,https://commons.wikimedia.org/wiki/File:Chad_Gable_NXT_Takeover_Dallas_2016.jpg,CC BY-SA 2.0,Miguel Discart,https://www.flickr.com/photos/miguel_discart/26441415664/in/album-72157665994257234/,Saved from Wikimedia Commons P18 image
78,wwe-smackdown-solo-sikoa,Solo Sikoa,saved,Q111421263,Solo Sikoa,American professional wrestler,"Solo Sikoa - WWE Live (Nottingham UK, October 2023) (cropped).jpg","https://commons.wikimedia.org/wiki/File:Solo_Sikoa_-_WWE_Live_(Nottingham_UK,_October_2023)_(cropped).jpg",CC0,Mechanical Elephant,Own work,Saved from Wikimedia Commons P18 image
79,wwe-raw-rey-mysterio,Rey Mysterio,error,Q44152,Rey Mysterio,American professional wrestler,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbgetentities&ids=Q44152&props=claims&format=json
80,aew-aew-athena,Athena,saved,Q1524,Athens,capital and largest city of Greece,Akropolis 2015.jpg,https://commons.wikimedia.org/wiki/File:Akropolis_2015.jpg,CC BY-SA 3.0 de,"Thomas Wolf, www.foto-tw.de",Own work,Saved from Wikimedia Commons P18 image
81,aew-aew-hikaru-shida,Hikaru Shida,saved,Q5760439,Hikaru Shida,Japanese professional wrestler and actress,"Hikaru Shida, July 2022 (headshot).jpg","https://commons.wikimedia.org/wiki/File:Hikaru_Shida,_July_2022_(headshot).jpg",CC BY-SA 4.0,Yuzunet,Own work,Saved from Wikimedia Commons P18 image
82,aew-aew-jamie-hayter,Jamie Hayter,error,Q67499163,Jamie Hayter,British professional wrestler,"Jamie Hayter, March 2023 (cropped).jpg","https://commons.wikimedia.org/wiki/File:Jamie_Hayter,_March_2023_(cropped).jpg",CC BY-SA 4.0,All Elite Wrestling,All Elite Wrestling,HTTPError: 429 Client Error: Too many requests (f061ab2) for url: https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Jamie_Hayter%2C_March_2023_%28cropped%29.jpg/1280px-Jamie_Hayter%2C_March_2023_%28cropped%29.jpg
83,aew-aew-kris-statlander,Kris Statlander,error,,,,,,,,,HTTPError: 429 Client Error: Too Many Requests for url: https://www.wikidata.org/w/api.php?action=wbsearchentities&search=Kris+Statlander&language=en&format=json&limit=8
84,wwe-raw-lyra-valkyria,Lyra Valkyria,saved,Q85156140,Aoife Valkyrie,"Irish professional wrestler, better","Valkyrie, January 2018 02 (cropped).jpg","https://commons.wikimedia.org/wiki/File:Valkyrie,_January_2018_02_(cropped).jpg",CC BY-SA 2.0,Miguel Discart,https://www.flickr.com/photos/miguel_discart/26583308298/,Saved from Wikimedia Commons P18 image
85,aew-aew-thunder-rosa,Thunder Rosa,saved,Q45042929,Thunder Rosa,Mexican professional wrestler,All Elite Wrestling Women's World Champion - Thunder Rosa (cropped).jpg,https://commons.wikimedia.org/wiki/File:All_Elite_Wrestling_Women%27s_World_Champion_-_Thunder_Rosa_(cropped).jpg,CC BY-SA 4.0,All Elite Wrestling,All Elite Wrestling (Uploader is an employee of the company),Saved from Wikimedia Commons P18 image
